#Mol_idx,mol_in_unitcell,unitcell_in_supercell_a,unitcell_in_supercell_b,unitcell_in_supercell_c
0,0,0,0,0
1,1,0,0,0
2,0,0,0,1
3,1,0,0,1
4,0,0,0,2
5,1,0,0,2
6,0,0,0,3
7,1,0,0,3
8,0,0,1,0
9,1,0,1,0
10,0,0,1,1
11,1,0,1,1
12,0,0,1,2
13,1,0,1,2
14,0,0,1,3
15,1,0,1,3
16,0,0,2,0
17,1,0,2,0
18,0,0,2,1
19,1,0,2,1
20,0,0,2,2
21,1,0,2,2
22,0,0,2,3
23,1,0,2,3
24,0,0,3,0
25,1,0,3,0
26,0,0,3,1
27,1,0,3,1
28,0,0,3,2
29,1,0,3,2
30,0,0,3,3
31,1,0,3,3
32,0,0,4,0
33,1,0,4,0
34,0,0,4,1
35,1,0,4,1
36,0,0,4,2
37,1,0,4,2
38,0,0,4,3
39,1,0,4,3
40,0,0,5,0
41,1,0,5,0
42,0,0,5,1
43,1,0,5,1
44,0,0,5,2
45,1,0,5,2
46,0,0,5,3
47,1,0,5,3
48,0,1,0,0
49,1,1,0,0
50,0,1,0,1
51,1,1,0,1
52,0,1,0,2
53,1,1,0,2
54,0,1,0,3
55,1,1,0,3
56,0,1,1,0
57,1,1,1,0
58,0,1,1,1
59,1,1,1,1
60,0,1,1,2
61,1,1,1,2
62,0,1,1,3
63,1,1,1,3
64,0,1,2,0
65,1,1,2,0
66,0,1,2,1
67,1,1,2,1
68,0,1,2,2
69,1,1,2,2
70,0,1,2,3
71,1,1,2,3
72,0,1,3,0
73,1,1,3,0
74,0,1,3,1
75,1,1,3,1
76,0,1,3,2
77,1,1,3,2
78,0,1,3,3
79,1,1,3,3
80,0,1,4,0
81,1,1,4,0
82,0,1,4,1
83,1,1,4,1
84,0,1,4,2
85,1,1,4,2
86,0,1,4,3
87,1,1,4,3
88,0,1,5,0
89,1,1,5,0
90,0,1,5,1
91,1,1,5,1
92,0,1,5,2
93,1,1,5,2
94,0,1,5,3
95,1,1,5,3
96,0,2,0,0
97,1,2,0,0
98,0,2,0,1
99,1,2,0,1
100,0,2,0,2
101,1,2,0,2
102,0,2,0,3
103,1,2,0,3
104,0,2,1,0
105,1,2,1,0
106,0,2,1,1
107,1,2,1,1
108,0,2,1,2
109,1,2,1,2
110,0,2,1,3
111,1,2,1,3
112,0,2,2,0
113,1,2,2,0
114,0,2,2,1
115,1,2,2,1
116,0,2,2,2
117,1,2,2,2
118,0,2,2,3
119,1,2,2,3
120,0,2,3,0
121,1,2,3,0
122,0,2,3,1
123,1,2,3,1
124,0,2,3,2
125,1,2,3,2
126,0,2,3,3
127,1,2,3,3
128,0,2,4,0
129,1,2,4,0
130,0,2,4,1
131,1,2,4,1
132,0,2,4,2
133,1,2,4,2
134,0,2,4,3
135,1,2,4,3
136,0,2,5,0
137,1,2,5,0
138,0,2,5,1
139,1,2,5,1
140,0,2,5,2
141,1,2,5,2
142,0,2,5,3
143,1,2,5,3
144,0,3,0,0
145,1,3,0,0
146,0,3,0,1
147,1,3,0,1
148,0,3,0,2
149,1,3,0,2
150,0,3,0,3
151,1,3,0,3
152,0,3,1,0
153,1,3,1,0
154,0,3,1,1
155,1,3,1,1
156,0,3,1,2
157,1,3,1,2
158,0,3,1,3
159,1,3,1,3
160,0,3,2,0
161,1,3,2,0
162,0,3,2,1
163,1,3,2,1
164,0,3,2,2
165,1,3,2,2
166,0,3,2,3
167,1,3,2,3
168,0,3,3,0
169,1,3,3,0
170,0,3,3,1
171,1,3,3,1
172,0,3,3,2
173,1,3,3,2
174,0,3,3,3
175,1,3,3,3
176,0,3,4,0
177,1,3,4,0
178,0,3,4,1
179,1,3,4,1
180,0,3,4,2
181,1,3,4,2
182,0,3,4,3
183,1,3,4,3
184,0,3,5,0
185,1,3,5,0
186,0,3,5,1
187,1,3,5,1
188,0,3,5,2
189,1,3,5,2
190,0,3,5,3
191,1,3,5,3
192,0,4,0,0
193,1,4,0,0
194,0,4,0,1
195,1,4,0,1
196,0,4,0,2
197,1,4,0,2
198,0,4,0,3
199,1,4,0,3
200,0,4,1,0
201,1,4,1,0
202,0,4,1,1
203,1,4,1,1
204,0,4,1,2
205,1,4,1,2
206,0,4,1,3
207,1,4,1,3
208,0,4,2,0
209,1,4,2,0
210,0,4,2,1
211,1,4,2,1
212,0,4,2,2
213,1,4,2,2
214,0,4,2,3
215,1,4,2,3
216,0,4,3,0
217,1,4,3,0
218,0,4,3,1
219,1,4,3,1
220,0,4,3,2
221,1,4,3,2
222,0,4,3,3
223,1,4,3,3
224,0,4,4,0
225,1,4,4,0
226,0,4,4,1
227,1,4,4,1
228,0,4,4,2
229,1,4,4,2
230,0,4,4,3
231,1,4,4,3
232,0,4,5,0
233,1,4,5,0
234,0,4,5,1
235,1,4,5,1
236,0,4,5,2
237,1,4,5,2
238,0,4,5,3
239,1,4,5,3
240,0,5,0,0
241,1,5,0,0
242,0,5,0,1
243,1,5,0,1
244,0,5,0,2
245,1,5,0,2
246,0,5,0,3
247,1,5,0,3
248,0,5,1,0
249,1,5,1,0
250,0,5,1,1
251,1,5,1,1
252,0,5,1,2
253,1,5,1,2
254,0,5,1,3
255,1,5,1,3
256,0,5,2,0
257,1,5,2,0
258,0,5,2,1
259,1,5,2,1
260,0,5,2,2
261,1,5,2,2
262,0,5,2,3
263,1,5,2,3
264,0,5,3,0
265,1,5,3,0
266,0,5,3,1
267,1,5,3,1
268,0,5,3,2
269,1,5,3,2
270,0,5,3,3
271,1,5,3,3
272,0,5,4,0
273,1,5,4,0
