#Mol_idx,mol_in_unitcell,unitcell_in_supercell_a,unitcell_in_supercell_b,unitcell_in_supercell_c
0,0,0,0,0
1,1,0,0,0
2,2,0,0,0
3,3,0,0,0
4,0,0,0,1
5,1,0,0,1
6,2,0,0,1
7,3,0,0,1
8,0,0,0,2
9,1,0,0,2
10,2,0,0,2
11,3,0,0,2
12,0,0,0,3
13,1,0,0,3
14,2,0,0,3
15,3,0,0,3
16,0,0,1,0
17,1,0,1,0
18,2,0,1,0
19,3,0,1,0
20,0,0,1,1
21,1,0,1,1
22,2,0,1,1
23,3,0,1,1
24,0,0,1,2
25,1,0,1,2
26,2,0,1,2
27,3,0,1,2
28,0,0,1,3
29,1,0,1,3
30,2,0,1,3
31,3,0,1,3
32,0,0,2,0
33,1,0,2,0
34,2,0,2,0
35,3,0,2,0
36,0,0,2,1
37,1,0,2,1
38,2,0,2,1
39,3,0,2,1
40,0,0,2,2
41,1,0,2,2
42,2,0,2,2
43,3,0,2,2
44,0,0,2,3
45,1,0,2,3
46,2,0,2,3
47,3,0,2,3
48,0,0,3,0
49,1,0,3,0
50,2,0,3,0
51,3,0,3,0
52,0,0,3,1
53,1,0,3,1
54,2,0,3,1
55,3,0,3,1
56,0,0,3,2
57,1,0,3,2
58,2,0,3,2
59,3,0,3,2
60,0,0,3,3
61,1,0,3,3
62,2,0,3,3
63,3,0,3,3
64,0,1,0,0
65,1,1,0,0
66,2,1,0,0
67,3,1,0,0
68,0,1,0,1
69,1,1,0,1
70,2,1,0,1
71,3,1,0,1
72,0,1,0,2
73,1,1,0,2
74,2,1,0,2
75,3,1,0,2
76,0,1,0,3
77,1,1,0,3
78,2,1,0,3
79,3,1,0,3
80,0,1,1,0
81,1,1,1,0
82,2,1,1,0
83,3,1,1,0
84,0,1,1,1
85,1,1,1,1
86,2,1,1,1
87,3,1,1,1
88,0,1,1,2
89,1,1,1,2
90,2,1,1,2
91,3,1,1,2
92,0,1,1,3
93,1,1,1,3
94,2,1,1,3
95,3,1,1,3
96,0,1,2,0
97,1,1,2,0
98,2,1,2,0
99,3,1,2,0
100,0,1,2,1
101,1,1,2,1
102,2,1,2,1
103,3,1,2,1
104,0,1,2,2
105,1,1,2,2
106,2,1,2,2
107,3,1,2,2
108,0,1,2,3
109,1,1,2,3
110,2,1,2,3
111,3,1,2,3
112,0,1,3,0
113,1,1,3,0
114,2,1,3,0
115,3,1,3,0
116,0,1,3,1
117,1,1,3,1
118,2,1,3,1
119,3,1,3,1
120,0,1,3,2
121,1,1,3,2
122,2,1,3,2
123,3,1,3,2
124,0,1,3,3
125,1,1,3,3
126,2,1,3,3
127,3,1,3,3
128,0,2,0,0
129,1,2,0,0
130,2,2,0,0
131,3,2,0,0
132,0,2,0,1
133,1,2,0,1
134,2,2,0,1
135,3,2,0,1
136,0,2,0,2
137,1,2,0,2
138,2,2,0,2
139,3,2,0,2
140,0,2,0,3
141,1,2,0,3
142,2,2,0,3
143,3,2,0,3
144,0,2,1,0
145,1,2,1,0
146,2,2,1,0
147,3,2,1,0
148,0,2,1,1
149,1,2,1,1
150,2,2,1,1
151,3,2,1,1
152,0,2,1,2
153,1,2,1,2
154,2,2,1,2
155,3,2,1,2
156,0,2,1,3
157,1,2,1,3
158,2,2,1,3
159,3,2,1,3
160,0,2,2,0
161,1,2,2,0
162,2,2,2,0
163,3,2,2,0
164,0,2,2,1
165,1,2,2,1
166,2,2,2,1
167,3,2,2,1
168,0,2,2,2
169,1,2,2,2
170,2,2,2,2
171,3,2,2,2
172,0,2,2,3
173,1,2,2,3
174,2,2,2,3
175,3,2,2,3
176,0,2,3,0
177,1,2,3,0
178,2,2,3,0
179,3,2,3,0
180,0,2,3,1
181,1,2,3,1
182,2,2,3,1
183,3,2,3,1
184,0,2,3,2
185,1,2,3,2
186,2,2,3,2
187,3,2,3,2
188,0,2,3,3
189,1,2,3,3
190,2,2,3,3
191,3,2,3,3
192,0,3,0,0
193,1,3,0,0
194,2,3,0,0
195,3,3,0,0
196,0,3,0,1
197,1,3,0,1
198,2,3,0,1
199,3,3,0,1
200,0,3,0,2
201,1,3,0,2
202,2,3,0,2
203,3,3,0,2
204,0,3,0,3
205,1,3,0,3
206,2,3,0,3
207,3,3,0,3
208,0,3,1,0
209,1,3,1,0
210,2,3,1,0
211,3,3,1,0
212,0,3,1,1
213,1,3,1,1
214,2,3,1,1
215,3,3,1,1
216,0,3,1,2
217,1,3,1,2
218,2,3,1,2
219,3,3,1,2
220,0,3,1,3
221,1,3,1,3
222,2,3,1,3
223,3,3,1,3
224,0,3,2,0
225,1,3,2,0
226,2,3,2,0
227,3,3,2,0
228,0,3,2,1
229,1,3,2,1
230,2,3,2,1
231,3,3,2,1
232,0,3,2,2
233,1,3,2,2
234,2,3,2,2
235,3,3,2,2
236,0,3,2,3
237,1,3,2,3
238,2,3,2,3
239,3,3,2,3
240,0,3,3,0
241,1,3,3,0
242,2,3,3,0
243,3,3,3,0
244,0,3,3,1
245,1,3,3,1
246,2,3,3,1
247,3,3,3,1
248,0,3,3,2
249,1,3,3,2
250,2,3,3,2
251,3,3,3,2
252,0,3,3,3
253,1,3,3,3
254,2,3,3,3
255,3,3,3,3
256,0,4,0,0
257,1,4,0,0
258,2,4,0,0
259,3,4,0,0
260,0,4,0,1
261,1,4,0,1
262,2,4,0,1
263,3,4,0,1
264,0,4,0,2
265,1,4,0,2
266,2,4,0,2
267,3,4,0,2
268,0,4,0,3
269,1,4,0,3
270,2,4,0,3
271,3,4,0,3
272,0,4,1,0
273,1,4,1,0
