#Mol_idx,mol_in_unitcell,unitcell_in_supercell_a,unitcell_in_supercell_b,unitcell_in_supercell_c
0,0,0,0,0
1,1,0,0,0
2,0,0,0,1
3,1,0,0,1
4,0,0,0,2
5,1,0,0,2
6,0,0,0,3
7,1,0,0,3
8,0,0,0,4
9,1,0,0,4
10,0,0,0,5
11,1,0,0,5
12,0,0,1,0
13,1,0,1,0
14,0,0,1,1
15,1,0,1,1
16,0,0,1,2
17,1,0,1,2
18,0,0,1,3
19,1,0,1,3
20,0,0,1,4
21,1,0,1,4
22,0,0,1,5
23,1,0,1,5
24,0,0,2,0
25,1,0,2,0
26,0,0,2,1
27,1,0,2,1
28,0,0,2,2
29,1,0,2,2
30,0,0,2,3
31,1,0,2,3
32,0,0,2,4
33,1,0,2,4
34,0,0,2,5
35,1,0,2,5
36,0,0,3,0
37,1,0,3,0
38,0,0,3,1
39,1,0,3,1
40,0,0,3,2
41,1,0,3,2
42,0,0,3,3
43,1,0,3,3
44,0,0,3,4
45,1,0,3,4
46,0,0,3,5
47,1,0,3,5
48,0,0,4,0
49,1,0,4,0
50,0,0,4,1
51,1,0,4,1
52,0,0,4,2
53,1,0,4,2
54,0,0,4,3
55,1,0,4,3
56,0,0,4,4
57,1,0,4,4
58,0,0,4,5
59,1,0,4,5
60,0,0,5,0
61,1,0,5,0
62,0,0,5,1
63,1,0,5,1
64,0,0,5,2
65,1,0,5,2
66,0,0,5,3
67,1,0,5,3
68,0,0,5,4
69,1,0,5,4
70,0,0,5,5
71,1,0,5,5
72,0,0,6,0
73,1,0,6,0
74,0,0,6,1
75,1,0,6,1
76,0,0,6,2
77,1,0,6,2
78,0,0,6,3
79,1,0,6,3
80,0,0,6,4
81,1,0,6,4
82,0,0,6,5
83,1,0,6,5
84,0,1,0,0
85,1,1,0,0
86,0,1,0,1
87,1,1,0,1
88,0,1,0,2
89,1,1,0,2
90,0,1,0,3
91,1,1,0,3
92,0,1,0,4
93,1,1,0,4
94,0,1,0,5
95,1,1,0,5
96,0,1,1,0
97,1,1,1,0
98,0,1,1,1
99,1,1,1,1
100,0,1,1,2
101,1,1,1,2
102,0,1,1,3
103,1,1,1,3
104,0,1,1,4
105,1,1,1,4
106,0,1,1,5
107,1,1,1,5
108,0,1,2,0
109,1,1,2,0
110,0,1,2,1
111,1,1,2,1
112,0,1,2,2
113,1,1,2,2
114,0,1,2,3
115,1,1,2,3
116,0,1,2,4
117,1,1,2,4
118,0,1,2,5
119,1,1,2,5
120,0,1,3,0
121,1,1,3,0
122,0,1,3,1
123,1,1,3,1
124,0,1,3,2
125,1,1,3,2
126,0,1,3,3
127,1,1,3,3
128,0,1,3,4
129,1,1,3,4
130,0,1,3,5
131,1,1,3,5
132,0,1,4,0
133,1,1,4,0
134,0,1,4,1
135,1,1,4,1
136,0,1,4,2
137,1,1,4,2
138,0,1,4,3
139,1,1,4,3
140,0,1,4,4
141,1,1,4,4
142,0,1,4,5
143,1,1,4,5
144,0,1,5,0
145,1,1,5,0
146,0,1,5,1
147,1,1,5,1
148,0,1,5,2
149,1,1,5,2
150,0,1,5,3
151,1,1,5,3
152,0,1,5,4
153,1,1,5,4
154,0,1,5,5
155,1,1,5,5
156,0,1,6,0
157,1,1,6,0
158,0,1,6,1
159,1,1,6,1
160,0,1,6,2
161,1,1,6,2
162,0,1,6,3
163,1,1,6,3
164,0,1,6,4
165,1,1,6,4
166,0,1,6,5
167,1,1,6,5
168,0,2,0,0
169,1,2,0,0
170,0,2,0,1
171,1,2,0,1
172,0,2,0,2
173,1,2,0,2
174,0,2,0,3
175,1,2,0,3
176,0,2,0,4
177,1,2,0,4
178,0,2,0,5
179,1,2,0,5
180,0,2,1,0
181,1,2,1,0
182,0,2,1,1
183,1,2,1,1
184,0,2,1,2
185,1,2,1,2
186,0,2,1,3
187,1,2,1,3
188,0,2,1,4
189,1,2,1,4
190,0,2,1,5
191,1,2,1,5
192,0,2,2,0
193,1,2,2,0
194,0,2,2,1
195,1,2,2,1
196,0,2,2,2
197,1,2,2,2
198,0,2,2,3
199,1,2,2,3
200,0,2,2,4
201,1,2,2,4
202,0,2,2,5
203,1,2,2,5
204,0,2,3,0
205,1,2,3,0
206,0,2,3,1
207,1,2,3,1
208,0,2,3,2
209,1,2,3,2
210,0,2,3,3
211,1,2,3,3
212,0,2,3,4
213,1,2,3,4
214,0,2,3,5
215,1,2,3,5
216,0,2,4,0
217,1,2,4,0
218,0,2,4,1
219,1,2,4,1
220,0,2,4,2
221,1,2,4,2
222,0,2,4,3
223,1,2,4,3
224,0,2,4,4
225,1,2,4,4
226,0,2,4,5
227,1,2,4,5
228,0,2,5,0
229,1,2,5,0
230,0,2,5,1
231,1,2,5,1
232,0,2,5,2
233,1,2,5,2
234,0,2,5,3
235,1,2,5,3
236,0,2,5,4
237,1,2,5,4
238,0,2,5,5
239,1,2,5,5
240,0,2,6,0
241,1,2,6,0
242,0,2,6,1
243,1,2,6,1
244,0,2,6,2
245,1,2,6,2
246,0,2,6,3
247,1,2,6,3
248,0,2,6,4
249,1,2,6,4
250,0,2,6,5
251,1,2,6,5
252,0,3,0,0
253,1,3,0,0
254,0,3,0,1
255,1,3,0,1
256,0,3,0,2
257,1,3,0,2
258,0,3,0,3
259,1,3,0,3
260,0,3,0,4
261,1,3,0,4
262,0,3,0,5
263,1,3,0,5
264,0,3,1,0
265,1,3,1,0
266,0,3,1,1
267,1,3,1,1
268,0,3,1,2
269,1,3,1,2
270,0,3,1,3
271,1,3,1,3
272,0,3,1,4
273,1,3,1,4
